headline , snippet , date,name,age,day of death,month of death,year of death
"Rick Casares, 82, a Bear Who Got Yards With Grit, Dies",Casares led the National Football League in rushing in 1956 and is third on the Chicago Bears’ career rushing list.,2013-09-19T00:00:00Z,Rick Casares,82,19,9,2013
"Jack Germond, Political Reporter of the Old School, Dies at 85","A newspaper reporter, syndicated columnist and TV pundit who was one of the “Boys on the Bus” for 10 presidential elections.",2013-08-15T00:00:00Z,Jack Germond,85,15,8,2013
"Bobby Thomason, Pro Bowl Quarterback, Dies at 85","Mr. Thomason, a three-time Pro Bowler, set a record for the Eagles in 1953 by surpassing 400 passing yards.",2013-11-10T00:00:00Z,Bobby Thomason,85,10,11,2013
"T.R. Fehrenbach, Historian, Dies at 88- Chronicler of Larger-Than-Life Texas ","A member of the Sons of Texas, Mr. Fehrenbach said he had never claimed to be a historian- he once characterized his writing as “political science fiction.”",2013-12-06T00:00:00Z,T.R. Fehrenbach,88,6,12,2013
"Rod Grams, Minnesota Anchorman Turned Senator, Is Dead at 65",Mr. Grams was a rare conservative to be elected to statewide office from Democratic-leaning Minnesota.,2013-10-10T00:00:00Z,Rod Grams,65,10,10,2013
"Paul Smith, Jazz Pianist, Is Dead at 91","Mr. Smith played with many well-known singers but was best known for accompanying Ella Fitzgerald, leading the trio that backed her in concert.",2013-07-04T00:00:00Z,Paul Smith,91,4,7,2013
"Elwin Wilson, Who Apologized for Racist Acts, Dies at 76",Mr. Wilson was a former Ku Klux Klan supporter who made apologies late in life for acts he committed earlier — including the beating of a civil rights worker who became a member of Congress.,2013-04-02T00:00:00Z,Elwin Wilson,76,2,4,2013
"Marshall Berman, Philosopher Who Praised Marx and Modernism, Dies at 72","In “All That Is Solid Melts Into Air,” Dr. Berman, an enthusiastic New Yorker, critiqued modernity.",2013-09-16T00:00:00Z,Marshall Berman,72,16,9,2013
"Matthew Shear, Book Publisher, Dies at 57","Mr. Shear, the publisher of St. Martin’s Press, helped writers like Janet Evanovich and Augusten Burroughs climb the best-seller lists.",2013-08-31T00:00:00Z,Matthew Shear,57,31,8,2013
"Ned Vizzini, 32, Dies- Wrote Teenage Novels",Mr. Vizzini addressed depression and other adolescent issues in works like “It’s Kind of a Funny Story.”,2013-12-21T00:00:00Z,Ned Vizzini,32,21,12,2013
"Kumar Pallana, Who Went From Yoga to Film, Dies at 94","Mr. Pallana, who spent decades on the vaudeville circuit as a plate spinner and was a Texas yoga instructor,  became a sought-after character actor  in his late 70s in films by Wes Anderson, Steven Spielberg and others.",2013-10-16T00:00:00Z,Kumar Pallana,94,16,10,2013
"Bud Palmer, Jump Shot Pioneer, Dies at 91","Mr. Palmer gained fame as a sports telecaster, but his most consequential role was in helping to change basketball in a fundamental way by being the first to shoot a jump shot.",2013-03-23T00:00:00Z,Bud Palmer,91,23,3,2013
"Arnold Eidus, 90, Adman With Stradivarius, Dies","Mr. Eidus, an advertising executive, began his career as an internationally acclaimed concert violinist who made it to Carnegie Hall as a soloist at age 13.",2013-06-11T00:00:00Z,Arnold Eidus,90,11,6,2013
"Robert L. Hardesty, Speechwriter for Johnson, Dies at 82",Mr. Hardesty also helped write and edit President Lyndon B. Johnson’s memoirs and served as president of Johnson’s alma mater.,2013-07-14T00:00:00Z,Robert L. Hardesty,82,14,7,2013
"John Palmer, 77, Correspondent for NBC News",Mr. Palmer broke the news of the Carter administration’s failed effort to rescue the American hostages in Iran in 1980 and anchored NBC’s early coverage of the Challenger space shuttle explosion in 1986.,2013-08-07T00:00:00Z,John Palmer,77,7,8,2013
"Richie Havens, Folk Singer Who Riveted Woodstock, Dies at 72","Mr. Havens marshaled a craggy voice and a percussive guitar to play his way into immortality at Woodstock in 1969, improvising “Freedom” on the fly.",2013-04-23T00:00:00Z,Richie Havens,72,23,4,2013
"Richard D. Lyons, 84, a Versatile Reporter for The Times","Richard D. Lyons, who covered science, Congress and the United Nations during almost 30 years as a reporter for The New York Times, died on Wednesday at his home in Charleston, S.C. He was 84. &#xa-   &#xa-The cause was complications of vascular deme",2013-03-20T00:00:00Z,Richard D. Lyons,84,20,3,2013
"Stephen Porter, Theater Director, Dies at 87",Mr. Porter was a theater director who dusted off classic plays by the likes of Molière and Shaw and honed them as “the realism of another time.”,2013-06-20T00:00:00Z,Stephen Porter,87,20,6,2013
"Stan Lynde, Creator of ‘Rick O’Shay’ Comic Strip, Dies at 81","Mr. Lynde’s syndicated work was set in the town of Conniption, and featured, in addition to the title character, the gunslinger Hipshot Percussion, the banker Mort Gage and a boy named Quyat Burp.",2013-08-08T00:00:00Z,Stan Lynde,81,8,8,2013
"Richard D. Lyons, Versatile Times Reporter, Dies at 84","Mr. Lyons covered science, Congress and the United Nations in nearly 30 years at The New York Times.",2013-03-18T00:00:00Z,Richard D. Lyons,84,18,3,2013
"Jim Hall, Master Jazz Guitarist Who Played With the Greats, Dies at 83","Mr. Hall was distinguished by his simplicity of style and a warm, lush sound.",2013-12-11T00:00:00Z,Jim Hall,83,11,12,2013
"Paul Dickstein, Koch’s Budget Chief in New York City, Dies at 70",Mr. Dickstein enforced fiscal discipline during the administration of former Mayor Edward I. Koch. He acknowledged that he was the anointed voice of doom as the city’s budget director.,2013-10-24T00:00:00Z,Paul Dickstein,70,24,10,2013
"Hans Hass, Early Undersea Explorer, Dies at 94","Dr. Hass, a marine scientist from Austria with an affinity for sharks, was known for the many commercial films he made between 1948 and 1960.",2013-07-07T00:00:00Z,Hans Hass,94,7,7,2013
"Hans Hass, Early Undersea Explorer, Dies at 94","Dr. Hass, a marine scientist from Austria with an affinity for sharks, was known for the many commercial films he made between 1948 and 1960.",2013-07-07T00:00:00Z,Hans Hass,94,7,7,2013
"Richard Street, Temptations Singer, Dies at 70","Mr. Street sang on Temptations songs like “Papa Was a Rollin’ Stone,” “Masterpiece” and “Superstar.”",2013-03-02T00:00:00Z,Richard Street,70,2,3,2013
"Merton D. Simpson, Painter, Collector and Dealer in African Art, Dies at 84",Mr. Simpson’s voice was important in his field and he achieved his stature as a collector before integration.,2013-03-14T00:00:00Z,Merton D. Simpson,84,14,3,2013
"Paul Desmarais, Canadian Magnate, Dies at 86",Mr. Desmarais transformed a bankrupt bus line in Canada into an international conglomerate.,2013-10-10T00:00:00Z,Paul Desmarais,86,10,10,2013
"John Hightower, Besieged Art Museum Director, Dies at 80",Mr. Hightower was named director of the Museum of Modern Art at 37. His firing 19 months later made him a symbol of the fleeting of wunderkind success.,2013-07-14T00:00:00Z,John Hightower,80,14,7,2013
"A. C. Lyles, Prolific Producer of Westerns, Dies at 95","Mr. Lyles rose from the mailroom to a lucrative niche at Paramount Pictures, employing underused stars in profitable low-budget westerns.",2013-10-07T00:00:00Z,A. C. Lyles,95,7,10,2013
"Sergei Belov, Star Guard Who Led Soviet Upset of U.S., Dies at 69","A player called the Jerry West of Russia, Belov scored 20 points in the Soviets’ 51-50 victory over the United States in the 1972 Summer Games in Munich.",2013-10-04T00:00:00Z,Sergei Belov,69,4,10,2013
"Paul Szilard, 100, Impresario Of Ballet and Modern Dance ",Mr. Szilard’s colorful career in and out of dance included managing tours for the Ailey company.,2013-08-12T00:00:00Z,Paul Szilard,100,12,8,2013
Butch Morris Dies at 65- Creator of ‘Conduction’,"Mr. Morris created a distinctive form of large-ensemble music built on collective improvisation. He referred to his method as “conduction,” short for “conducted improvisation.”",2013-01-30T00:00:00Z,Butch Morris Dies at 65- Creator of ‘Conduction’,65,30,1,2013
"Jack Curran, a Mentor in Two Sports, Dies at 82","Mr. Curran coached generations of baseball and basketball players for 55 years at Archbishop Molloy High School in Queens, N.Y., winning more than 2,600 games.",2013-03-15T00:00:00Z,Jack Curran,82,15,3,2013
"Alain Mimoun, a Top Runner, Dies at 92",Mimoun was a French Olympian and a brilliant distance runner who was hailed for the grandeur of his achievements and for embodying the amateur ideal.,2013-07-01T00:00:00Z,Alain Mimoun,92,1,7,2013
"Fred Katz, Who Married Cello to Jazz, Dies at 94",Mr. Katz was a classically trained cellist who quite by accident helped elevate his instrument to unlikely stardom in jazz.,2013-09-13T00:00:00Z,Fred Katz,94,13,9,2013
"Steve Forrest, Performer on Film and TV’s ‘S.W.A.T.,’ Dies at 87","Mr. Forrest starred in films, onstage and in British television but was best known for ABC’s “S.W.A.T.,” in which he played Lt. Dan Harrelson.",2013-05-24T00:00:00Z,Steve Forrest,87,24,5,2013
"Marcel Reich-Ranicki, Literary Critic, Is Dead at 93","Mr. Reich-Ranicki, a Polish Jew who grew up in Berlin, became a powerful cultural figure in postwar Germany as a literary critic and a television talk show host.",2013-09-19T00:00:00Z,Marcel Reich-Ranicki,93,19,9,2013
"Paul Blair, Center Fielder for Champions, Dies at 69","Perhaps the finest outfielder of his era, Mr. Blair was known for his speed and grace, and for his ability to read a hitter’s swing and make a quick break on a fly ball.",2013-12-28T00:00:00Z,Paul Blair,69,28,12,2013
"George Hambrick, 91, Leader in Dermatology, Dies",Dr. Hambrick founded the American Skin Association in 1987 with two colleagues and was its president from its inception to his death.,2013-12-18T00:00:00Z,George Hambrick,91,18,12,2013
"Otis R. Bowen, Governor and Health Secretary, Dies at 95","Dr. Bowen, who worked as a family practitioner before becoming Indiana’s governor, was secretary of health and human services during the Reagan administration’s second term.",2013-05-08T00:00:00Z,Otis R. Bowen,95,8,5,2013
"Don Oliver, NBC Correspondent, Dies at 76","Mr. Oliver covered major world events, like the conflicts in Laos, Cambodia and Vietnam, the Middle East peace talks in 1977 and the Civil War in El Salvador, for NBC News for more than 25 years.",2013-06-03T00:00:00Z,Don Oliver,76,3,6,2013
"F. D. Reeve, Poet and Translator, Dies at 84","Mr. Reeve, father of the actor Christopher Reeve, wrote highly regarded poetry and other works, translated Russian authors and founded The Poetry Review.",2013-07-08T00:00:00Z,F. D. Reeve,84,8,7,2013
"Murrey Marder, Early McCarthy Skeptic, Dies at 93","Mr. Marder may not have gotten a lot of the glory for helping bring down a Red-baiting Senator Joe McCarthy, but he deserves much of the credit, colleagues said.",2013-03-20T00:00:00Z,Murrey Marder,93,20,3,2013
"Charles Varnadore, Whistle-Blower at Lab, Dies at 71","In the 1990s Mr. Varnadore publicized questionable safety practices at Oak Ridge National Laboratory in Tennessee, which led to stronger laws protecting workers who complain about employers.",2013-08-05T00:00:00Z,Charles Varnadore,71,5,8,2013
"Frederic Franklin, Inventive and Charismatic Ballet Star, Is Dead at 98","Mr. Franklin, a British-born dancer and ballet master who performed into his 90s, was known for his stylistic versatility and inexhaustible energy.",2013-05-06T00:00:00Z,Frederic Franklin,98,6,5,2013
"Anthony Caro, Who Followed Sculpture on a ‘Path to Abstraction,’ Dies at 89","Mr. Caro drew praise from art aficionados and critics in Britain and the United States for his brightly colored, horizontal assemblages of welded steel.",2013-10-25T00:00:00Z,Anthony Caro,89,25,10,2013
"Charlie Coles, Who Led Underdog to a Stirring N.C.A.A. Run, Dies at 71",Mr. Coles coached Miami University in Ohio and Wally Szczerbiak to a memorable N.C.A.A. basketball tournament run in 1999.,2013-06-10T00:00:00Z,Charlie Coles,71,10,6,2013
"Todd Christensen, Record-Setting Tight End, Dies at 57",Mr. Christensen was a tight end for the Oakland and Los Angeles Raiders who made five Pro Bowl teams and played on two Super Bowl champions.,2013-11-14T00:00:00Z,Todd Christensen,57,14,11,2013
"John LaMontaine, Pulitzer-Winning Composer, Dies at 93","Mr. LaMontaine, who won the Pulitzer Prize in 1959 and composed music for the Kennedy inauguration, had taken and passed a stockbrokers’ exam to support his career.",2013-05-15T00:00:00Z,John LaMontaine,93,15,5,2013
"Hugh McCracken, a Studio Musician in High Demand, Dies at 70","Mr. McCracken accompanied hundreds of musicians, including Paul Simon, Bob Dylan, Steely Dan and B. B. King, and he recorded with all four Beatles after their breakup.",2013-04-04T00:00:00Z,Hugh McCracken,70,4,4,2013
"John LaMontaine, Pulitzer-Winning Composer, Dies at 93","Mr. LaMontaine, who won the Pulitzer Prize in 1959 and composed music for the Kennedy inauguration, had taken and passed a stockbrokers’ exam to support his career.",2013-05-15T00:00:00Z,John LaMontaine,93,15,5,2013
"Hugh McCracken, a Studio Musician in High Demand, Dies at 70","Mr. McCracken accompanied hundreds of musicians, including Paul Simon, Bob Dylan, Steely Dan and B. B. King, and he recorded with all four Beatles after their breakup.",2013-04-04T00:00:00Z,Hugh McCracken,70,4,4,2013
"Peter Huttenlocher, Explorer of the Brain, Dies at 82","Dr. Huttenlocher counted synapses, observing how much of the information coming to the brain was discarded as the mind became more efficient.",2013-08-28T00:00:00Z,Peter Huttenlocher,82,28,8,2013
"John Graves, Author Beloved by Fellow Texans, Dies at 92","Mr. Graves’s Brazos River excursion in 1957 resulted in “Goodbye to a River,” then two other books, “Hard Scrabble” and “From a Limestone Ledge,” completed the noted trilogy.",2013-08-02T00:00:00Z,John Graves,92,2,8,2013
"Rev. Dr. Roger L. Shinn, Who Linked Faith to Social Causes, Dies at 96",Dr. Shinn championed the ecumenical movement and argued for a sharper sense of ethical and social responsibility on the part of moderate Protestant churches.,2013-06-02T00:00:00Z,Rev. Dr. Roger L. Shinn,96,2,6,2013
"Frederik Pohl, Science Fiction Master Who Vaporized Utopias, Dies at 93","Mr. Pohl, who grew up in Brooklyn, edited magazines and books before finding renown as a writer. Perhaps the most famous of his novels was “The Space Merchants.”",2013-09-04T00:00:00Z,Frederik Pohl,93,4,9,2013
"Herb Kaplow, Voice of ABC and NBC News, Dies at 86",Mr. Kaplow’s resonant voice and craggy face were familiar to generations of viewers of the nightly news broadcast.,2013-07-30T00:00:00Z,Herb Kaplow,86,30,7,2013
"Paul Rose, Quebec Separatist Involved in Kidnapping, Dies at 69",Mr. Rose was a member of the FLQ extremist group that kidnapped Canadian political leaders and committed dozens of terrorist bombings. He was later convicted of murder.,2013-03-26T00:00:00Z,Paul Rose,69,26,3,2013
"Robert Citron, Culprit in California Fraud, Dies at 87","Mr. Citron’s financial actions astounded bankers and bureaucrats, and put the county in bankruptcy in 1994, and himself in prison the following year.",2013-01-18T00:00:00Z,Robert Citron,87,18,1,2013
"George Rodrigue, Painter of Blue Dog, Dies at 69",Mr. Rodrigue celebrated Louisiana culture in his earliest works but achieved a following with his paintings of Blue Dog.,2013-12-27T00:00:00Z,George Rodrigue,69,27,12,2013
"Slim Whitman, Yodeling Country Singer With a Regular-Guy Image, Dies at 90","Mr. Whitman recorded more than 500 songs, made more than 100 albums and sold more than 70 million records.",2013-06-20T00:00:00Z,Slim Whitman,90,20,6,2013
"Leonard Kerpelman, Who Led School Prayer Case, Dies at 88",Mr. Kerpelman successfully argued a landmark Supreme Court case in 1963 that led to a ban on state-supported prayer in public schools.,2013-10-03T00:00:00Z,Leonard Kerpelman,88,3,10,2013
"George M. Leader, a Former Governor, Dies at 95","Mr. Leader’s upset 1954 victory for the governorship of Pennsylvania was credited to his television advertising campaign, one of the earliest in American politics.",2013-05-11T00:00:00Z,George M. Leader,95,11,5,2013
"Curtis W. Tarr, Innovative Leader of the Draft, Dies at 88","As director of the Selective Service System during the Vietnam War, Mr. Tarr initiated changes intended to make the draft lottery fairer.",2013-06-30T00:00:00Z,Curtis W. Tarr,88,30,6,2013
"Paul Rose, Quebec Separatist Involved in a Kidnapping and Murder, Dies at 69",Mr. Rose was a member of the FLQ extremist group that kidnapped Canadian political leaders and committed dozens of terrorist bombings. He was later convicted of murder.,2013-03-22T00:00:00Z,Paul Rose,69,22,3,2013
"Marvin Rainwater, 88, Twangy Country Singer, Dies","Mr. Rainwater was a classically trained pianist who turned to country music, then wrote and recorded the hits “Gonna Find Me a Bluebird” and “Whole Lotta Woman.”",2013-09-23T00:00:00Z,Marvin Rainwater,88,23,9,2013
