headline , snippet , date,name,age,day of death,month of death,year of death
"Jimmy Dawkins, Chicago Blues Guitarist, Dies at 76","Mr. Dawkins, who did most of his touring in Europe and Japan, counted Buddy Guy and Eric Clapton among his fans.",2013-04-19T00:00:00Z,Jimmy Dawkins,76,19,4,2013
"William Hathaway, Senator From Maine, Dies at 89","Mr. Hathaway’s 1972 election ended the career of his Republican opponent, Margaret Chase Smith, the first woman elected to both houses of Congress.",2013-06-26T00:00:00Z,William Hathaway,89,26,6,2013
"Jason Molina, a Balladeer of Heartbreak, Dies at 39","Mr. Molina, a singer and songwriter, led the alternative bands Songs: Ohia and Magnolia Electric Co.",2013-03-27T00:00:00Z,Jason Molina,39,27,3,2013
"Jean-Léon Destiné, Dancer, Dies at 94","Considered the father of Haitian professional dance, Mr. Destiné first came to international attention in the 1940s and remained prominent for decades afterward.",2013-01-30T00:00:00Z,Jean-Léon Destiné,94,30,1,2013
"Butch Warren, 74, Prominent Jazz Bassist, Dies","Mr. Warren performed and recorded with Thelonious Monk, Herbie Hancock and others before his career was derailed by mental illness and substance abuse.",2013-10-24T00:00:00Z,Butch Warren,74,24,10,2013
"Cedar Walton, Pianist and Composer, Dies at 79",Mr. Walton often said he preferred the role of accompanist to that of bandleader.,2013-08-21T00:00:00Z,Cedar Walton,79,21,8,2013
"Donald Cabana, Warden Who Loathed Death Penalty, Dies at 67","Mr. Cabana, who worked in corrections for more than 25 years, argued that capital punishment was ineffectual, expensive and inhumane.",2013-10-13T00:00:00Z,Donald Cabana,67,13,10,2013
"Nguyen Khanh, General Who Led Coup, Dies at 86","General Khanh bloodlessly seized control of South Vietnam’s government in 1964, but his rule as premier lasted only a year as he was deposed by a junta of junior officers.",2013-01-28T00:00:00Z,Nguyen Khanh,86,28,1,2013
"George Duke, Keyboardist Who Crossed Genre Boundaries, Dies at 67","Mr. Duke started as a jazz pianist and later, at Frank Zappa’s request, took up the synthesizer, the instrument that became his hallmark.",2013-08-08T00:00:00Z,George Duke,67,8,8,2013
"C. Everett Koop, Forceful U.S. Surgeon General, Dies at 96",Dr. Koop was widely regarded as the most influential surgeon general in American history and played a crucial role in changing public attitudes about smoking.,2013-02-26T00:00:00Z,C. Everett Koop,96,26,2,2013
"John W. Cornforth, 96, Nobel-Winning Chemist, Dies","Dr. Cornforth, who was born in Australia, shared the Nobel Prize in Chemistry in 1975 and could trace that achievement to his discovery as a child that he was becoming deaf.",2013-12-20T00:00:00Z,John W. Cornforth,96,20,12,2013
"E. Clay Shaw Jr., House Sponsor of Welfare Overhaul, Dies at 74","Mr. Shaw, a Florida Republican, sponsored and helped shepherd a contentious 1996 bill backed by President Bill Clinton to overhaul the nation’s welfare system.",2013-09-12T00:00:00Z,E. Clay Shaw Jr.,74,12,9,2013
"Tato Laviera, 63, Poet of Nuyorican School ",Mr. Laviera&#8217-s acclaimed poems and plays captured the rhythms and language of Puerto Rico and the Lower East Side.,2013-11-07T00:00:00Z,Tato Laviera,63,7,11,2013
