LAT,LON                                                                                                                  ,Urban,Rural,"Housing units, total","low access, people at 1 mile "
42.9295854,-76.5835976,1,0,1371,88.09590936
43.537919,-76.6871525,0,1,0,0
42.1122275,-79.2195681,1,0,1542,740.2568716
42.1105183,-79.2352592,1,0,1729,0
42.10831,-79.2523568,1,0,891,0
42.0929258,-79.2598323,1,0,1838,0
42.0950482,-79.2384139,1,0,1707,64.68586868
42.0961741,-79.2182731,1,0,1521,1796.69271
42.0822302,-79.223541,1,0,1927,52.34745791
42.0821319,-79.2521336,1,0,1967,141.1367069
42.5446424,-79.1490155,0,1,1780,1714.382538
42.4920214,-79.2313647,0,1,1073,2528.118529
42.4814623,-79.3176162,1,0,1240,14.20433855
42.4909989,-79.3283103,1,0,1291,138.3192096
42.4847452,-79.3495491,1,0,1489,992.5268874
42.4691355,-79.3303005,1,0,1338,0
42.442193,-79.3188198,1,0,1757,1458.311997
42.4346376,-79.3445797,1,0,2147,804.4167213
42.4524986,-79.339692,1,0,86,0
42.4092619,-79.3576416,1,0,1828,3607.539615
42.3177043,-79.1572313,0,1,1962,4957.416648
42.3770563,-79.4619724,0,1,1626,4072.195845
42.2232066,-79.5251619,0,1,1198,1464.372112
42.2960616,-79.3812393,0,1,1496,3026.285491
42.2857749,-79.6041528,0,1,2030,1922.480599
42.1906807,-79.6874295,0,1,1384,3521.000011
42.0657319,-79.6209936,0,1,1444,4257.00001
42.0808764,-79.4616778,0,1,1765,4473.000008
42.2191261,-79.2927728,0,1,1140,2988.999985
42.1525929,-79.3539224,0,1,1473,3444.000015
42.0394329,-79.3025815,0,1,1384,3231.823241
42.0998365,-79.337152,1,0,1816,1770.229764
42.093224,-79.2779273,1,0,1483,306.1606595
42.1451724,-79.2264154,0,1,2238,2311.98686
42.1697173,-79.1178663,0,1,1548,3629.520035
42.0383315,-79.1464301,0,1,2008,3061.10008
42.4880234,-79.1207032,0,1,1098,2697.999993
42.5006582,-79.5141161,1,0,1069,0.030682698
42.1051723,-76.8027676,1,0,1183,209.076666
42.1076412,-76.8200403,1,0,1,1751.672563
42.112845,-76.8323487,1,0,1005,1183.066668
42.1011268,-76.8281714,1,0,1370,966.0617515
42.0864045,-76.8251795,1,0,1220,0
42.092139,-76.8149942,1,0,1032,0
42.0921926,-76.7972522,1,0,1449,0
42.0793693,-76.7917729,1,0,1256,0
42.0801985,-76.8053615,1,0,1406,52.48840505
42.0735943,-76.8122272,0,1,1402,3448.528489
42.1880854,-76.6268876,0,1,2360,5931.000003
42.2525914,-76.8657249,1,0,3083,5675.296838
42.1384899,-76.9137559,1,0,1669,46.72978359
42.1720818,-76.8376757,1,0,1352,1392.973153
42.1672451,-76.8243943,1,0,1306,2363.17783
42.1383802,-76.8472443,0,1,2787,4435.096091
42.1577113,-76.7788747,1,0,1718,1054.459389
42.1352562,-76.8185187,1,0,2221,5111.999981
42.0977881,-76.8452641,0,1,1587,4015.21067
42.0705081,-76.656279,1,0,3181,2214.623899
42.0646823,-76.8224648,0,1,1805,4683.889203
42.0232071,-76.852477,0,1,2426,4553.129238
42.6939737,-75.4812144,0,1,1831,4621.999992
42.614331,-75.7468682,1,0,1695,405.5353648
42.5330251,-75.5271842,1,0,1402,8.095695496
42.5337188,-75.5168313,0,1,2222,4391.829272
42.5892562,-75.4148374,0,1,1645,3315.651612
42.5225785,-75.5410947,0,1,1552,3947.999983
42.4415729,-75.4935163,0,1,976,2397.000002
42.458192,-75.7308689,0,1,1602,2929.100015
42.339595,-75.4987776,0,1,1515,3180.5798
42.3706616,-75.7399595,0,1,2074,3345.720657
42.2473336,-75.5402217,0,1,1496,2433.668906
42.2757054,-75.7556015,0,1,2494,4541.209872
44.96628,-73.436895,0,1,1685,4284.00001
44.8565183,-73.4607412,0,1,2352,6478.999993
